"No.","Time","Source","Destination","Protocol","Length","Info"
"41","1.397530800","ce:22:b5:ab:cf:45","Intel_30:32:07","ARP","56","ARP Announcement for 172.17.61.133"
"42","1.410297329","172.17.61.200","104.16.10.34","TCP","66","[TCP Dup ACK 18#1] 47466  >  443 [ACK] Seq=1 Ack=1 Win=61 Len=0 TSval=3486624111 TSecr=1867217957"
"43","1.412450137","104.16.10.34","172.17.61.200","TCP","66","[TCP Dup ACK 19#1] 443  >  47466 [ACK] Seq=1 Ack=2 Win=295 Len=0 TSval=1867218981 TSecr=3486572934"
"44","1.460168602","fe80::1455:4424:feef:4c5a","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"45","1.460169428","fe80::1455:4424:feef:4c5a","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"46","1.460249753","172.17.61.133","224.0.0.2","IGMPv2","56","Leave Group 224.0.0.251"
"47","1.461137768","172.17.61.133","224.0.0.251","IGMPv2","56","Membership Report group 224.0.0.251"
"48","1.463145486","172.17.61.226","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"49","1.464631471","172.17.61.183","224.0.0.251","MDNS","135","Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _44ED731B._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"50","1.466391027","fe80::1c20:55ff:fe83:e68","ff02::fb","MDNS","155","Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _44ED731B._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"51","1.519040075","172.17.61.200","3.7.13.58","TLSv1.2","141","Application Data"
"52","1.520312904","172.17.61.200","3.7.13.58","TLSv1.2","141","Application Data"
"53","1.520440207","3.7.13.58","172.17.61.200","TCP","66","443  >  60048 [ACK] Seq=1 Ack=76 Win=362 Len=0 TSval=3744519531 TSecr=1764730984"
"54","1.521730739","3.7.13.58","172.17.61.200","TCP","66","443  >  60068 [ACK] Seq=1 Ack=76 Win=317 Len=0 TSval=3744519532 TSecr=1764730986"
"55","1.522231303","172.17.61.200","3.7.13.58","TLSv1.2","141","Application Data"
"56","1.524321852","172.17.61.200","3.7.13.58","TLSv1.2","141","Application Data"
"57","1.526413404","3.7.13.58","172.17.61.200","TCP","66","443  >  58864 [ACK] Seq=1 Ack=76 Win=317 Len=0 TSval=3744519537 TSecr=1764730987"
"58","1.527281998","ce:22:b5:ab:cf:45","Intel_30:32:07","ARP","56","Who has 172.17.60.1? Tell 172.17.61.133"
"59","1.527308102","3.7.13.58","172.17.61.200","TCP","66","443  >  60052 [ACK] Seq=1 Ack=76 Win=340 Len=0 TSval=3744519537 TSecr=1764730990"
"60","1.538806580","IETF-VRRP-VRID_02","Intel_30:32:07","ARP","56","Who has 172.17.61.133? Tell 172.17.60.1"
